MES_ANO;UF_PROCEDENCIA;CATEGORIA;QTD_MACHO;QTD_FEMEA
05/2013;SP;Novilho Intermediario;2010;0
05/2014;AM;Touro/Touruno;90;0
05/2014;MT;Galinha;520001;0
05/2014;SC;Porca Matrizeira;10745;0
05/2014;SC;Suino;289810;265777
05/2014;SP;Vaca;2777;0
05/2015;MG;Vitelo;2288;0
05/2015;MS;Novilhona;303;0
05/2015;PE;Galeto;1614396;0
05/2015;SP;Bubalino Jovem;19;0
05/2016;MG;Coelho;80;0
05/2016;MT;Novilha Intermediaria;1;0
05/2016;RS;Bufala;131;0
05/2016;SP;Novilha Intermediaria;1801;0
05/2017;CE;Frango;663526;0
05/2017;MG;Porca Matrizeira;3879;0
05/2017;PI;Asinino;62;137
05/2017;SP;Novilha Intermediaria;2358;0
05/2018;MG;Ovino;411;116
05/2018;PR;Galo;41714;0
05/2018;SC;Novilha Precoce;385;0
05/2018;SP;Ovelha;11;0
05/2019;MS;Bovino;175068;164668
05/2019;MT;Touro/Touruno;353;0
05/2019;PA;Novilho Intermediario;28;0
05/2020;MA;Bovino;26107;435
05/2020;MS;Ovino;55;0
05/2020;MT;Bovino;219887;139251
05/2020;PI;Galinha;8336;0
05/2020;SP;Porca Matrizeira;957;0
05/2020;SP;Tilápia;286683;0
05/2020;TO;Bovino;67132;13678
05/2021;MT;Frango;9561633;9957552
05/2021;PR;Suíno;630133;573550
05/2021;SP;Suíno;117032;47023
05/2022;DF;Bubalino;22;0
05/2022;PE;Aves;4041862;0
05/2022;SC;Tilápia, Tilápia-do-Nilo;5090;0
06/2003;MG;Novilha Intermediaria;200;0
06/2003;PR;Equino;917;778
06/2003;SC;Marreco;7701;0
06/2004;MS;Muar;20;23
06/2004;RJ;Muar;3;4
06/2004;RO;Bovino;5365;1610
06/2004;RS;Bovino;23742;21207
06/2004;RS;Touro/Touruno;80;0
06/2004;SP;Equino;1390;1324
06/2005;MT;Bovino;119488;85577
06/2005;PA;Bovino;94660;43094
06/2005;PR;Galinha;227982;0
06/2005;RS;Novilha Precoce;1917;0
06/2005;RS;Suino;177989;178304
06/2005;TO;Frango;13621;0
06/2006;PR;Galo;299;0
06/2007;MG;Galeto;29640;0
06/2007;MG;Suino Tipo Banha,;1242;15
06/2007;PR;Asinino;1;0
06/2007;RS;Porco Matrizeiro;19;0
06/2007;SP;Equino;597;533
06/2008;PR;Bufala;69;0
06/2009;MS;Porca Matrizeira;919;0
06/2009;PR;Novilho Intermediario;146;0
06/2009;SC;Novilhao;745;0
06/2009;SC;Porco Matrizeiro;225;0
06/2010;MT;Vaca;15319;0
06/2010;RO;Bovino;24409;17073
06/2010;RS;Nonato;1;0
06/2010;RS;Peru;405997;0
06/2011;BA;Cabrito;55;0
06/2011;GO;Vaca;4672;0
06/2011;MG;Vitelo;763;0
06/2011;MS;Avestruz;140;0
06/2011;PE;Galeto;446130;0
06/2012;MG;Bufala;30;0
06/2012;SC;Bufalo;1;0
06/2013;RS;Suino;262815;237938
06/2013;SC;Frango;69286390;0
06/2014;AM;Touro/Touruno;105;0
06/2014;MG;Leitao;47;0
06/2014;MT;Novilho Intermediario;359;0
06/2014;MT;Novilhona;37096;0
06/2014;SP;Bovino;96045;43692
06/2014;SP;Cordeiro;139;0
06/2014;TO;Novilha Precoce;52;0
06/2015;BA;Equino;87;47
06/2015;GO;Galo;14086;0
06/2015;MS;Novilha Precoce;44;0
06/2015;PR;Bufalo;71;0
06/2015;SE;Suino;127;134
06/2016;MG;Galinha De Postura;30342;0
06/2016;PA;Bovino;144459;67897
06/2016;PA;Galo;1365;0
06/2017;AC;Suino;1677;1663
06/2017;RS;Asinino;7;5
06/2017;RS;Novilhao;370;0
06/2017;RS;Ovino;1143;1287
06/2017;SP;Porca Matrizeira;562;0
06/2018;BA;Asinino;2531;3075
06/2018;ES;Bovino;14269;2078
06/2018;RO;Vaca;67526;0
06/2019;RS;Novilha Intermediaria;147;0
06/2019;RS;Touro/Touruno;27;0
06/2020;GO;Vaca;13183;0
06/2020;MG;Suino Tipo Carne,;102080;54613
06/2020;PR;Bufalo;3;0
06/2020;SC;Galinha;658316;0
06/2020;SP;Nonato;180;0
06/2021;PE;Frango;323640;318328
06/2021;PR;Frango;59645714;40086699
06/2022;AM;Bovino;3111;1122
06/2022;MG;Tilápia do Nilo;144078;0
06/2022;MS;Tilápia do Nilo;1622868;0
07/2000;AL;Bovino;1128;449
07/2003;DF;Bovino;0;15
07/2003;PR;Ovino;0;3
07/2003;RN;Ovino;20;0
07/2003;RS;Equino;1250;988
07/2004;CE;Caprino;248;111
07/2004;MT;Porca Matrizeira;166;0
07/2004;RS;Galeto;19799;0
07/2004;TO;Bufala;93;0
07/2005;MG;Suino Tipo Carne,;32784;32368
07/2005;MG;Vitelo;45;0
07/2005;MT;Galinha De Postura;2583;0
07/2005;PR;Porca Matrizeira;512;0
07/2005;RO;Novilhao;48672;0
07/2005;SP;Leitoa;30;0
07/2005;SP;Novilhona;15;0
07/2006;GO;Novilhao;10070;0
07/2006;MS;Ovelha;208;0
07/2006;RS;Suino Tipo Carne,;15470;15918
07/2006;SC;Suino Tipo Carne,;213575;220887
07/2007;MG;Vaca;4268;0
07/2007;RS;Leitao;1297;0
07/2007;RS;Leitoa;880;0
07/2008;GO;Bovino;191598;45845
07/2008;MG;Suino;53124;47152
07/2008;RS;Novilha Precoce;767;0
07/2008;SP;Touro/Touruno;1;0
07/2009;PA;Bufalo;224;0
07/2010;GO;Porca Matrizeira;3155;0
07/2010;MG;Ovino;28;222
07/2010;RS;Bufala;27;0
07/2010;SP;Novilhona;1867;0
07/2010;SP;Touro/Touruno;1;0
07/2011;BA;Bufala;6;0
07/2011;GO;Porca Matrizeira;2626;0
07/2011;MT;Frango;17173975;0
07/2011;SC;Novilho Precoce;589;0
07/2012;AM;Touro/Touruno;4;0
07/2012;MT;Bovino;137931;114783
07/2012;RO;Novilhao;24872;0
07/2013;AC;Novilhona;46;0
07/2013;MT;Touro/Touruno;644;0
07/2013;RJ;Queixada;11;0
07/2013;RS;Ovino;4982;1623
07/2014;ES;Frango;2416659;0
07/2014;GO;Novilhao;28487;0
07/2015;GO;Equino;531;283
07/2015;MG;Leitao;132;0
